S25880,1999-042A,Telkom 1,Telkom 1,2457867.43,2017 Apr 23 2214,GEO/S,1436.132,35780,35793,0.05,108.03E,0.016W
S25894,1999-046A,ABS-7,Koreasat 3,2457867.29,2017 Apr 23 1856,GEO/S,1436.094,35776,35796,0.01,116.12E,0.006W
S25924,1999-053A,ABS 6,LMI 1,2457866.47,2017 Apr 22 2319,GEO/S,1436.101,35773,35799,0.05,159.01E,0.008W
S25949,1999-059A,Telstar 12,Orion 2,2457866.98,2017 Apr 23 1129,GEO/S,1436.097,35774,35798,0.82,109.20W,0.007W
S25954,1999-060A,AMC 4,Americom 4,2457866.1,2017 Apr 22 1424,GEO/S,1436.1,35776,35796,0.07,67.02W,0.008W
S25967,1999-063A,UHF F/O F10,UFO 10,2457804.99,2017 Feb 20 1149,GEO/I,1436.122,35739,35834,6.47,71.50E,0.014W
S26038,1999-071A,Galaxy 11,Galaxy 11,2457867.37,2017 Apr 23 2052,GEO/S,1436.095,35781,35791,0.01,44.91E,0.007W
S26052,2000-001A,USA 148,DSCS III B-8,2457804.73,2017 Feb 20 536,GEO/I,1436.122,35765,35808,6.54,179.93W,0.014W
S26071,2000-007A,Hispasat 84W-1,Hispasat 1C (H84W-1),2457867.02,2017 Apr 23 1230,GEO/S,1436.108,35748,35825,0.45,83.82W,0.010W
S26095,2000-012A,Superbird B2,Superbird 4,2457867.35,2017 Apr 23 2025,GEO/S,1436.094,35772,35800,0.29,161.92E,0.006W
S26107,2000-016A,Asiastar,Asiastar,2457867.42,2017 Apr 23 2203,GEO/S,1436.123,35769,35805,1.56,104.98E,0.014W
S26243,2000-019A,EUTELSAT 16C,SESAT,2457867.35,2017 Apr 23 2022,GEO/I,1436.073,35774,35798,4.17,14.54E,0.001W
S26356,2000-024A,DSP F20,DSP 18?,2457805.64,2017 Feb 21 322,GEO/I,1436.122,35743,35830,10.39,165.57W,0.014W
S26369,2000-028A,EUTELSAT 70C,Eutelsat W4,2457867.37,2017 Apr 23 2059,GEO/S,1436.108,35764,35809,0.9,80.53E,0.010W
S26390,2000-035A,Sirius FM-1,Sirius CD Radio 1,2457866.49,2017 Apr 22 2352,MEO,912.103,24770,24782,59.53,,
S26388,2000-034A,TDRS 8,TDRS H,2457866.82,2017 Apr 23 742,GEO/I,1436.197,35767,35809,7.4,88.98E,0.032W
S26402,2000-038A,Echostar VI,Echostar 6,2457866.97,2017 Apr 23 1122,GEO/I,1436.09,35772,35800,4.08,96.30W,0.005W
S26451,2000-043A,Intelsat IS-9,PAS 9,2457866.71,2017 Apr 23 505,GEO/I,1436.123,35775,35798,3.43,43.10W,0.014W
S26470,2000-046B,Nilesat 102,Nilesat 102,2457867.35,2017 Apr 23 2021,GEO/S,1436.092,35768,35804,1.57,6.95W,0.006W
S26469,2000-046A,Star One B4,Brasilsat B4,2457866.41,2017 Apr 22 2146,GEO/S,1436.108,35772,35800,1.55,91.94W,0.010W
S26495,2000-054B,AMC 7,Americom 7,2457866.29,2017 Apr 22 1855,GEO/S,1436.104,35780,35792,0.03,134.99W,0.009W
S26494,2000-054A,Astra 2B,Astra 2B,2457867.38,2017 Apr 23 2113,GEO/S,1436.076,35764,35808,2.1,19.45E,0.002W
S26554,2000-059A,NSS 11,GE-1A,2457867.43,2017 Apr 23 2214,GEO/S,1436.109,35778,35795,0.05,108.19E,0.010W
S26559,2000-060A,N-SAT-110,Superbird 5,2457867.43,2017 Apr 23 2213,GEO/S,1436.116,35782,35791,0.03,110.07E,0.012W
S26575,2000-065A,USA 153,DSCS III B-11,2457860.93,2017 Apr 17 1016,GEO/I,1436.122,35754,35819,6,56.74E,0.014W
S26580,2000-067A,AMC 6,Americom 6,2457866.96,2017 Apr 23 1101,GEO/S,1436.094,35781,35792,0,67.00W,0.007W
S26590,2000-068A,Intelsat IS-12,Europe*Star FM1,2457867.37,2017 Apr 23 2052,GEO/S,1436.088,35779,35793,0.37,44.98E,0.005W
S26608,2000-072A,Intelsat IS-1R,PAS 1R,2457867.22,2017 Apr 23 1714,GEO/D,1439.852,35849,35870,0.2,153.31W,0.949W
S26624,2000-076A,Anik F1,Anik F1,2457866.21,2017 Apr 22 1705,GEO/S,1436.09,35779,35793,0.04,107.32W,0.005W
S26626,2000-077A,Sirius FM-3,Sirius CD Radio 3,2457866.37,2017 Apr 22 2050,MEO,906.679,24630,24675,62.39,,
S26635,2000-080A,USA 155,QUASAR 12?,2457852.75,2017 Apr 9 554,GEO/I,1436.122,35759,35815,7.88,110.23E,0.014W
S26638,2000-081A,Astra 2D,Astra 2D,2457866.94,2017 Apr 23 1035,GEO/I,1436.112,35778,35795,3.55,59.70E,0.011W
S26639,2000-081B,AMC 8,Americom 8,2457866.97,2017 Apr 23 1113,GEO/S,1436.07,35773,35798,0.06,139.01W,0.000W
S26695,2001-005B,Skynet 4F,Skynet 4F,2457866.58,2017 Apr 23 200,GEO/I,1436.072,35773,35799,8.84,33.87W,0.001W
S26694,2001-005A,SICRAL 1,SICRAL 1A,2457847.06,2017 Apr 3 1330,GEO/I,1436.122,35765,35808,7.18,16.28E,0.014W
S26715,2001-009A,Milstar 4,Milstar DFS-4,2457831.8,2017 Mar 19 714,GEO/I,1436.122,35737,35836,8.14,111.23E,0.014W
S26719,2001-011A,EUTELSAT 33C,Eurobird,2457867.2,2017 Apr 23 1646,GEO/S,1436.103,35767,35806,0.07,33.12E,0.009W
S26766,2001-019A,Intelsat IS-10,PAS 10,2457867.37,2017 Apr 23 2052,GEO/S,1436.102,35777,35795,1.4,47.49E,0.008W
S26824,2001-024A,INTELSAT 901,IS-901,2457867.33,2017 Apr 23 1952,GEO/S,1436.11,35775,35798,0.02,17.97W,0.010W
S26853,2001-025A,Astra 2C,Astra 2C,2457867.31,2017 Apr 23 1922,GEO/S,1436.088,35774,35798,0.28,60.31E,0.005W
S26880,2001-033A,DSP F21,DSP,2457857.68,2017 Apr 14 421,GEO/I,1436.122,35764,35809,9.56,130.81E,0.014W
S26900,2001-039A,INTELSAT 902,INTELSAT 902,2457867.31,2017 Apr 23 1922,GEO/S,1436.098,35774,35799,0.01,62.00E,0.007W
S26927,2001-042A,EUTELSAT 12 West B,Atlantic Bird 2,2457867.4,2017 Apr 23 2134,GEO/S,1436.103,35761,35811,0.06,12.44W,0.009W
S26948,2001-046A,USA 162,QUASAR 13?,2457833.42,2017 Mar 20 2158,GEO/ID,1431.933,35659,35751,9.11,92.89W,1.043E
S26985,2001-052A,DirecTV-4S,DirecTV-4S,2457867.08,2017 Apr 23 1400,GEO/S,1436.085,35777,35795,0.01,101.21W,0.004W
S27168,2002-001A,Milstar 5,Milstar DFS-5,2457852,2017 Apr 8 1205,GEO/I,1436.122,35761,35812,7.53,19.00E,0.014W
S27298,2002-002A,Insat 3C,Insat 3C,2457867.42,2017 Apr 23 2207,GEO/S,1436.098,35766,35806,0.51,93.48E,0.008W
S27380,2002-007A,INTELSAT 904,INTELSAT 904,2457867.18,2017 Apr 23 1618,GEO/S,1436.088,35775,35797,0.05,45.12E,0.005W
S27378,2002-006A,Echostar VII,Echostar 7,2457866.98,2017 Apr 23 1136,GEO/S,1436.112,35781,35792,0.06,118.80W,0.011W
S27400,2002-015B,Astra 3A,Astra 3A,2457866.24,2017 Apr 22 1740,GEO/I,1436.058,35773,35797,3.71,46.98W,0.003E
S27403,2002-016A,INTELSAT 903,INTELSAT 903,2457866.88,2017 Apr 23 911,GEO/S,1436.082,35773,35798,0.02,34.53W,0.004W
S27399,2002-015A,JCSAT 2A,JCSAT-8,2457867.42,2017 Apr 23 2159,GEO/S,1436.145,35785,35789,0.36,136.01E,0.019W
S27414,2002-019A,NSS 7,NSS 7,2457867.2,2017 Apr 23 1646,GEO/S,1436.085,35775,35797,1.78,19.97W,0.004W
S27426,2002-023A,DirecTV-5,DirecTV-5,2457866.22,2017 Apr 22 1716,GEO/S,1436.107,35772,35800,0.02,110.14W,0.010W
S27441,2002-029A,Ekspress A1R,Ekspress-A No. 4,2457867.36,2017 Apr 23 2034,GEO/I,1436.176,35779,35796,5.97,145.16E,0.027W
S27438,2002-027A,INTELSAT 905,INTELSAT 905,2457867.35,2017 Apr 23 2021,GEO/S,1436.099,35774,35798,0.01,24.45W,0.008W
S27445,2002-030A,Galaxy 3C,Galaxy III-C,2457866.18,2017 Apr 22 1616,GEO/S,1436.123,35781,35793,0.02,95.02W,0.014W
S27460,2002-035A,EUTELSAT 5 West A,Stellat 5,2457866.93,2017 Apr 23 1013,GEO/S,1436.095,35764,35808,0.05,5.05W,0.007W
S27461,2002-035B,N-Star c,N-Star c,2457867.28,2017 Apr 23 1839,GEO/I,1436.125,35771,35803,4.53,135.89E,0.014W
S27501,2002-039A,Echostar VIII,Echostar 8,2457867.02,2017 Apr 23 1221,GEO/D,1437.296,35762,35857,0.98,77.96W,0.308W
S27508,2002-040A,EUTELSAT 36 West A,Atlantic Bird 1,2457866.01,2017 Apr 22 1221,GEO/S,1436.064,35758,35813,0.07,36.01W,0.001E
S27509,2002-040B,Meteosat 8,MSG 1,2457867.21,2017 Apr 23 1704,GEO/I,1435.956,35779,35787,4.75,41.61E,0.028E
S27513,2002-041A,INTELSAT 906,INTELSAT 906,2457867.29,2017 Apr 23 1850,GEO/S,1436.098,35774,35799,0.02,64.17E,0.008W
